,annual_pc_price_change,pe-ratio,ps-ratio,pb-ratio,roe,roa,operating-margin,net-profit-margin,debt-equity-ratio,current-ratio,quick-ratio,inventory-turnover,receiveable-turnover,operating-income,net-income
LUV,-0.2842054514164934,10.4,1.18,2.51,25.0178,9.393,14.596,11.2224,0.5154,0.6361,0.58,31.9002,38.6708,-0.0589961843263868,-0.2657134346142389
TRGP,-0.1992364864504356,0.0,0.64,0.9,0.8085,0.3566,2.2653,-1.1379,0.8631,0.507,0.45,50.0194,12.1132,-2.940344966192921,0.8817034700315458
EXPE,-0.0496228233631047,42.02,1.51,2.89,7.043,2.2071,6.3619,3.6176,0.6578,0.6448,0.0,,5.16,0.1424,0.0740740740740741
PNR,-0.2001139543539293,17.76,2.09,3.25,17.5208,8.4513,14.728,11.7163,0.429,1.2696,0.8,4.9481,6.0735,0.1543753634681468,-0.4787696924231058
PAYX,-0.0109840079378181,21.84,6.03,8.58,42.1801,12.5591,38.2361,29.4313,,1.1127,0.0,,6.4386,0.0299864423000237,0.2030739440881037
MS,-0.2276661067541595,7.3,1.5,0.72,12.193,1.0412,28.0176,20.5002,4.7606,0.8085,0.0,,0.7525,0.0801691819667402,0.4713672154617037
MGM,-0.2615400502564455,29.87,1.11,1.19,5.5769,1.9327,12.4923,3.7868,1.4452,0.8569,0.82,78.3491,17.1565,-0.1419195971331239,-0.7696392749816543
GILD,-0.0992053924292138,12.39,3.05,3.07,25.3553,8.5748,37.0588,24.6531,1.3171,3.3792,3.3,5.9619,6.6507,-0.4194279241008213,0.1786949006050129
APA,-0.3638130831419266,245.13,1.21,1.04,3.2456,1.3252,12.339,0.5152,0.9355,1.2208,0.0,,6.5025,0.0435729847494552,-0.9693251533742332
MPWR,0.044863350915447,47.39,8.55,7.43,16.4457,13.2674,19.4869,18.0754,,7.2205,5.53,1.9043,10.5477,0.4657987187435419,0.6144655920739843
MAA,-0.010445799492401,42.4,5.93,1.46,3.6255,2.0401,25.4884,13.9505,0.7106,,0.0,,,0.1289123277786548,-0.3248627156280894
POOL,0.1597114451592245,25.26,1.91,25.09,104.862,18.8949,10.4696,7.8203,2.9821,2.9948,0.79,3.1638,14.4277,0.1038014451554099,0.2234896912327209
FMC,-0.2097134313655689,18.3,2.15,2.79,16.7456,5.3899,17.2893,11.7168,0.8387,1.3464,1.0,2.3457,1.9989,3.6744473186119873,-0.0628966032101528
NDSN,-0.1764524802779478,24.03,3.05,4.67,26.0126,11.0311,22.2906,16.7375,0.915,2.524,1.77,3.8504,4.588,0.0775661505667106,0.2757689265116529
D,-0.0760138224147606,15.71,3.42,1.81,9.5111,2.6914,26.9042,21.8502,1.5954,0.6749,0.49,2.4069,5.3841,-0.2346964693929387,-0.1840613537845948
HCA,0.4338007795718011,13.01,0.87,-14.0,-150.4112,11.1944,14.2918,8.1132,-11.2478,1.3493,1.12,4.4596,6.8754,0.0932481153720092,0.7089350180505416
EQR,0.0620460648783911,31.46,8.28,1.98,6.6123,3.3597,43.2411,25.3889,0.8479,,0.0,,,0.1095927639647675,0.0900821669556584
NWS,-0.2946550936500685,0.0,0.96,0.83,-13.7826,-8.834,6.6379,-16.7996,0.1863,1.3335,1.22,13.0426,5.598,0.3833718244803694,1.0486486486486486
TMO,0.182137710074046,30.52,3.69,3.23,10.6503,5.2248,15.5308,12.0618,0.6884,1.7285,1.24,4.4928,5.8893,0.2780405405405406,0.3204494382022471
AMAT,-0.3491922494587347,9.44,1.92,4.37,44.3828,17.2291,26.8842,18.1862,0.7756,2.7037,1.76,2.4692,7.1911,0.1410060975609757,-0.1366865586814436
IVZ,-0.5203547198864218,6.35,1.06,0.6,9.8823,2.8507,22.6736,16.6124,0.8544,1.5831,0.0,,5.8648,-0.0580095379563754,-0.2168899139536947
MCO,-0.0410453492916428,19.91,5.87,39.14,201.2195,13.8568,42.0437,29.4846,8.6524,1.6136,0.0,,3.4522,0.0258099945085117,0.3086913086913088
BA,0.1153056917594153,17.53,1.82,433.88,2551.219,8.9128,11.8534,10.3365,33.7732,1.0765,0.31,1.3013,7.0403,0.1588360402165507,0.2367486985328917
CNP,0.0373864357088553,33.38,1.69,1.54,6.2678,1.4662,13.8283,5.3051,1.1373,2.1275,2.01,3.8173,5.2748,-0.2359154929577465,-0.8141741071428572
ABT,0.2903716406271217,50.01,3.85,3.8,7.5972,3.4746,11.9367,7.7441,0.6369,1.6236,1.2,3.3472,5.9008,1.3337595907928388,3.964360587002097
RMD,0.3637974306090499,45.28,6.09,6.87,15.3274,10.3001,23.1532,13.4855,0.1367,2.0845,1.56,3.7413,4.8383,0.272507386131452,-0.0779937128232695
EA,-0.2489054987857158,35.7,7.2,7.94,22.6986,12.1505,27.8447,20.2524,0.2159,2.4103,0.0,,13.3766,0.1715686274509804,0.078593588417787
CFG,-0.2743795139588679,8.68,1.48,0.54,8.6149,1.0722,,29.1624,0.8283,,0.0,,,0.1417364016736402,0.032967032967033
BDX,0.0661810688221666,540.87,3.87,3.04,1.4815,0.577,9.4413,0.9948,1.0239,1.027,0.69,3.5553,6.8922,-0.0085413929040736,-0.845631067961165
BRO,0.0828949407456343,21.77,3.63,2.47,11.473,5.1468,22.9596,16.6791,0.5022,,0.0,,,0.028328611898017,-0.1383129341034769
APD,-0.0043636116766617,22.09,3.71,2.95,13.3381,7.7728,22.0107,16.7723,0.3411,2.1735,2.0,15.6261,5.6502,0.3650006944444446,-0.5007998933475537
CAG,-0.41979821749348,15.97,1.63,3.43,21.2293,7.676,13.0192,10.1835,1.0158,0.8299,0.41,5.6507,13.9415,0.1172972972972972,0.2645080556859065
TPR,-0.2141081549076576,29.43,1.97,3.58,12.2511,5.9521,11.4286,6.7602,0.4933,2.5928,1.88,3.015,17.2992,-0.1465581847292589,-0.3274111675126904
PNW,0.0356380998528622,15.44,2.14,1.47,9.919,3.0035,20.96,13.8448,0.9749,0.561,0.38,3.6591,9.2054,-0.1495732076214997,0.0462498157459423
PEG,0.0467069041799852,15.63,2.31,1.55,10.0021,3.1726,23.7005,14.8309,1.0766,0.7106,0.53,3.5754,5.7818,0.6081175647305808,-0.0864040660736975
ROP,0.0351880838675586,28.68,5.22,3.47,12.2039,6.193,26.8994,18.1923,0.6386,1.1122,0.98,10.0194,5.8204,0.1538588663030904,-0.0281951018728132
PYPL,0.1422167889160555,49.18,6.56,6.42,13.3693,4.7471,14.1997,13.3131,0.1299,1.2725,0.0,,0.7583,0.0314997649271273,0.1459610027855153
FTNT,0.6120393682764935,37.26,6.79,11.84,33.1519,10.8804,12.989,18.5581,,1.7677,1.7,5.0044,4.0598,1.134792472488591,9.665605095541402
NRG,0.3958727241073558,42.04,1.13,-7.92,-37.2772,4.3282,10.3608,2.8276,-5.2844,1.5013,1.33,17.2524,9.2559,-2.325236167341431,-1.1244774732930791
